filename, language, JavaScript, JSON, Markdown, Vue.js, CSS, HTML, comment, blank, total
d:\Code\General-Competition-Registration-System\liuser_vue\Front\README.md, Markdown, 0, 0, 19, 0, 0, 0, 0, 6, 25
d:\Code\General-Competition-Registration-System\liuser_vue\Front\babel.config.js, JavaScript, 5, 0, 0, 0, 0, 0, 0, 1, 6
d:\Code\General-Competition-Registration-System\liuser_vue\Front\package.json, JSON, 0, 47, 0, 0, 0, 0, 0, 1, 48
d:\Code\General-Competition-Registration-System\liuser_vue\Front\public\index.html, HTML, 0, 0, 0, 0, 0, 30, 1, 2, 33
d:\Code\General-Competition-Registration-System\liuser_vue\Front\src\App.vue, Vue.js, 0, 0, 0, 31, 0, 0, 5, 5, 41
d:\Code\General-Competition-Registration-System\liuser_vue\Front\src\components\GetScore.vue, Vue.js, 0, 0, 0, 24, 0, 0, 0, 8, 32
d:\Code\General-Competition-Registration-System\liuser_vue\Front\src\components\HelloWorld.vue, Vue.js, 0, 0, 0, 56, 0, 0, 0, 3, 59
d:\Code\General-Competition-Registration-System\liuser_vue\Front\src\components\HomePage.vue, Vue.js, 0, 0, 0, 239, 0, 0, 0, 37, 276
d:\Code\General-Competition-Registration-System\liuser_vue\Front\src\components\register.vue, Vue.js, 0, 0, 0, 44, 0, 0, 0, 3, 47
d:\Code\General-Competition-Registration-System\liuser_vue\Front\src\custom.css, CSS, 0, 0, 0, 0, 26, 0, 0, 8, 34
d:\Code\General-Competition-Registration-System\liuser_vue\Front\src\main.js, JavaScript, 10, 0, 0, 0, 0, 0, 0, 5, 15
Total, -, 15, 47, 19, 394, 26, 30, 6, 79, 616
